b,33.17,1.04,u,g,r,h,6.5,t,f,0,t,g,164,31285,+
a,47,13,u,g,i,bb,5.165,t,t,9,t,g,0,0,+
b,56.58,18.5,u,g,d,bb,15,t,t,17,t,g,0,0,+
b,42.08,1.04,u,g,w,v,5,t,t,6,t,g,500,10000,+
b,49.5,7.585,u,g,i,bb,7.585,t,t,15,t,g,0,5000,+
b,54.58,9.415,u,g,ff,ff,14.415,t,t,11,t,g,30,300,+
b,56.42,28,y,p,c,v,28.5,t,t,40,f,g,0,15,+
a,41,2.04,y,p,q,h,0.125,t,t,23,t,g,455,1236,+
b,35.17,4.5,u,g,x,h,5.75,f,f,0,t,s,711,0,+
b,32.33,7.5,u,g,e,bb,1.585,t,f,0,t,s,420,0,-
b,34.83,4,u,g,d,bb,12.5,t,f,0,t,g,0,0,-
a,38.58,5,u,g,cc,v,13.5,t,f,0,t,g,980,0,-
b,44.25,0.5,u,g,m,v,10.75,t,f,0,f,s,400,0,-
b,44.83,7,y,p,c,v,1.625,f,f,0,f,g,160,2,-
b,20.67,5.29,u,g,q,v,0.375,t,t,1,f,g,160,0,-
b,34.08,6.5,u,g,aa,v,0.125,t,f,0,t,g,443,0,-
a,19.17,0.585,y,p,aa,v,0.585,t,f,0,t,g,160,0,-
b,21.67,1.165,y,p,k,v,2.5,t,t,1,f,g,180,20,-
b,21.5,9.75,u,g,c,v,0.25,t,f,0,f,g,140,0,-
b,49.58,19,u,g,ff,ff,0,t,t,1,f,g,94,0,-
a,27.67,1.5,u,g,m,v,2,t,f,0,f,s,368,0,-
b,39.83,0.5,u,g,m,v,0.25,t,f,0,f,s,288,0,-
a,22.67,3.5,u,g,d,v,3,t,f,0,t,g,300,0,-
b,27.25,0.625,u,g,aa,v,0.455,t,f,0,t,g,200,0,-
b,37.17,4,u,g,c,bb,5,t,f,0,t,s,280,0,-
b,22.67,0.375,u,g,d,v,0.875,t,f,0,t,s,928,0,-
b,25.67,2.21,y,p,aa,v,4,t,f,0,f,g,188,0,-
b,34,4.5,u,g,aa,v,1,t,f,0,t,g,240,0,-
a,49,1.5,u,g,j,j,0,t,f,0,t,g,100,27,-
b,62.5,12.75,y,p,c,h,5,t,f,0,f,g,112,0,-
b,31.42,15.5,u,g,c,v,0.5,t,f,0,f,g,120,0,-
b,22.67,5,y,p,aa,v,8.5,t,f,0,f,g,0,0,-
b,52.33,1.375,y,p,c,h,9.46,t,f,0,t,g,200,100,-
b,28.75,1.5,y,p,c,v,1.5,t,f,0,t,g,0,225,-
a,28.58,3.54,u,g,i,bb,0.5,t,f,0,t,g,171,0,-
b,23,0.625,y,p,aa,v,0.125,t,f,0,f,g,180,1,-
b,22.67,0.5,u,g,c,bb,0.835,t,f,0,t,s,320,0,-
a,22.5,11,y,p,q,v,3,t,f,0,t,g,268,0,-
a,28.5,1,u,g,q,v,1,t,t,2,t,g,167,500,-
b,37.5,1.75,y,p,c,bb,0.25,t,f,0,t,g,164,400,-
b,35.25,16.5,y,p,c,v,4,t,f,0,f,g,80,0,-
b,18.67,5,u,g,q,v,0.375,t,t,2,f,g,0,38,-
b,25,12,u,g,k,v,2.25,t,t,2,t,g,120,5,-
b,27.83,4,y,p,i,h,5.75,t,t,2,t,g,75,0,-
b,54.83,15.5,u,g,e,z,0,t,t,20,f,g,152,130,-
b,28.75,1.165,u,g,k,v,0.5,t,f,0,f,s,280,0,-
a,25,11,y,p,aa,v,4.5,t,f,0,f,g,120,0,-
b,40.92,2.25,y,p,x,h,10,t,f,0,t,g,176,0,-
a,19.75,0.75,u,g,c,v,0.795,t,t,5,t,g,140,5,-
b,29.17,3.5,u,g,w,v,3.5,t,t,3,t,g,329,0,-
a,24.5,1.04,y,p,ff,ff,0.5,t,t,3,f,g,180,147,-
b,24.58,12.5,u,g,w,v,0.875,t,f,0,t,g,260,0,-
a,33.75,0.75,u,g,k,bb,1,t,t,3,t,g,212,0,-
b,20.67,1.25,y,p,c,h,1.375,t,t,3,t,g,140,210,-
a,25.42,1.125,u,g,q,v,1.29,t,t,2,f,g,200,0,-
b,37.75,7,u,g,q,h,11.5,t,t,7,t,g,300,5,-
b,52.5,6.5,u,g,k,v,6.29,t,t,15,f,g,0,11202,+
b,57.83,7.04,u,g,m,v,14,t,t,6,t,g,360,1332,+
b,67.75,5.5,u,g,e,z,13,t,t,1,t,g,0,0,+
a,47.42,8,u,g,e,bb,6.5,t,t,6,f,g,375,51100,+
a,56.5,16,u,g,j,ff,0,t,t,15,f,g,0,247,+
a,40.33,7.54,y,p,q,h,8,t,t,14,f,g,0,2300,+
a,52.83,15,u,g,c,v,5.5,t,t,14,f,g,0,2200,+
a,21.67,11.5,y,p,j,j,0,t,t,11,t,g,0,0,+
a,68.67,15,u,g,e,z,0,t,t,14,f,g,0,3376,+
a,60.58,16.5,u,g,q,v,11,t,f,0,t,g,21,10561,+
a,49.83,13.585,u,g,k,h,8.5,t,f,0,t,g,0,0,+
b,47.67,0.29,u,g,c,bb,15,t,t,20,f,g,0,15000,+
a,57.08,19.5,u,g,c,v,5.5,t,t,7,f,g,0,3000,+
b,34.5,4.04,y,p,i,bb,8.5,t,t,7,t,g,195,0,+
b,48.17,7.625,u,g,w,h,15.5,t,t,12,f,g,0,790,+
a,35.42,12,u,g,q,h,14,t,t,8,f,g,0,6590,+
b,39.33,5.875,u,g,cc,h,10,t,t,14,t,g,399,0,+
b,60.08,14.5,u,g,ff,ff,18,t,t,15,t,g,0,1000,+
b,55.92,11.5,u,g,ff,ff,5,t,t,5,f,g,0,8851,+
b,65.42,11,u,g,e,z,20,t,t,7,t,g,22,0,+
a,47.42,3,u,g,x,v,13.875,t,t,2,t,g,519,1704,+
a,58.42,21,u,g,i,bb,10,t,t,13,f,g,0,6700,+
b,40.25,21.5,u,g,e,z,20,t,t,11,f,g,0,1200,+
b,22.67,0.625,u,g,k,v,0.25,f,f,0,f,g,380,2010,-
b,18.17,10.25,u,g,c,h,1.085,f,f,0,f,g,320,13,-
b,20,11.045,u,g,c,v,2,f,f,0,t,g,136,0,-
b,20,0,u,g,d,v,0.5,f,f,0,f,g,144,0,-
a,20.75,9.54,u,g,i,v,0.04,f,f,0,f,g,200,1000,-
a,24.5,1.75,y,p,c,v,0.165,f,f,0,f,g,132,0,-
b,32.75,2.335,u,g,d,h,5.75,f,f,0,t,g,292,0,-
a,52.17,0,y,p,ff,ff,0,f,f,0,f,g,0,0,-
a,48.17,1.335,u,g,i,o,0.335,f,f,0,f,g,0,120,-
a,20.42,10.5,y,p,x,h,0,f,f,0,t,g,154,32,-
b,50.75,0.585,u,g,ff,ff,0,f,f,0,f,g,145,0,-
b,17.08,0.085,y,p,c,v,0.04,f,f,0,f,g,140,722,-
b,18.33,1.21,y,p,e,dd,0,f,f,0,f,g,100,0,-
a,32,6,u,g,d,v,1.25,f,f,0,f,g,272,0,-
b,32.33,2.5,u,g,c,v,1.25,f,f,0,t,g,280,0,-
b,18.08,6.75,y,p,m,v,0.04,f,f,0,f,g,140,0,-
b,38.25,10.125,y,p,k,v,0.125,f,f,0,f,g,160,0,-
b,30.67,2.5,u,g,cc,h,2.25,f,f,0,t,s,340,0,-
b,18.58,5.71,u,g,d,v,0.54,f,f,0,f,g,120,0,-
a,19.17,5.415,u,g,i,h,0.29,f,f,0,f,g,80,484,-
a,18.17,10,y,p,q,h,0.165,f,f,0,f,g,340,0,-
b,24.58,13.5,y,p,ff,ff,0,f,f,0,f,g,0,0,-
b,16.25,0.835,u,g,m,v,0.085,t,f,0,f,s,200,0,-
b,21.17,0.875,y,p,c,h,0.25,f,f,0,f,g,280,204,-
b,23.92,0.585,y,p,cc,h,0.125,f,f,0,f,g,240,1,-
b,17.67,4.46,u,g,c,v,0.25,f,f,0,f,s,80,0,-
a,16.5,1.25,u,g,q,v,0.25,f,t,1,f,g,108,98,-
b,23.25,12.625,u,g,c,v,0.125,f,t,2,f,g,0,5552,-
b,17.58,10,u,g,w,h,0.165,f,t,1,f,g,120,1,-
a,22.67,1.5,u,g,ff,ff,0,f,t,2,t,g,200,105,-
b,29.5,0.58,u,g,w,v,0.29,f,t,1,f,g,340,2803,-
b,18.83,0.415,y,p,c,v,0.165,f,t,1,f,g,200,1,-
a,21.75,1.75,y,p,j,j,0,f,f,0,f,g,160,0,-
b,23,0.75,u,g,m,v,0.5,f,f,0,t,s,320,0,-
a,18.25,10,u,g,w,v,1,f,t,1,f,g,120,1,-
b,25.42,0.54,u,g,w,v,0.165,f,t,1,f,g,272,444,-
b,35.75,2.415,u,g,w,v,0.125,f,t,2,f,g,220,1,-
a,16.08,0.335,u,g,ff,ff,0,f,t,1,f,g,160,126,-
a,31.92,3.125,u,g,ff,ff,3.04,f,t,2,t,g,200,4,-
b,69.17,9,u,g,ff,ff,4,f,t,1,f,g,70,6,-
b,32.92,2.5,u,g,aa,v,1.75,f,t,2,t,g,720,0,-
b,16.33,2.75,u,g,aa,v,0.665,f,t,1,f,g,80,21,-
b,22.17,12.125,u,g,c,v,3.335,f,t,2,t,g,180,173,-
a,57.58,2,u,g,ff,ff,6.5,f,t,1,f,g,0,10,-
b,18.25,0.165,u,g,d,v,0.25,f,f,0,t,s,280,0,-
b,23.42,1,u,g,c,v,0.5,f,f,0,t,s,280,0,-
a,15.92,2.875,u,g,q,v,0.085,f,f,0,f,g,120,0,-
a,24.75,13.665,u,g,q,h,1.5,f,f,0,f,g,280,1,-
b,48.75,26.335,y,p,ff,ff,0,t,f,0,t,g,0,0,-
b,23.5,2.75,u,g,ff,ff,4.5,f,f,0,f,g,160,25,-
b,18.58,10.29,u,g,ff,ff,0.415,f,f,0,f,g,80,0,-
b,27.75,1.29,u,g,k,h,0.25,f,f,0,t,s,140,0,-
a,31.75,3,y,p,j,j,0,f,f,0,f,g,160,20,-
a,24.83,4.5,u,g,w,v,1,f,f,0,t,g,360,6,-
